Recorded date: Apr 17, 2026, 14:29:19
Export date: Apr 18, 2026, 18:39:45
Min (dB-A): 70.8
Max (dB-A): 86.1
Peak (dB-A): 90.1
Avg (dB-A): 77.4
TWA (dB-A): 40.2
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
76.3,1776410890004
76.3,1776410890243
75.3,1776410890483
75.1,1776410890703
75.6,1776410890943
76.3,1776410891167
76.5,1776410891403
76.1,1776410891643
75.0,1776410891863
76.8,1776410892083
74.8,1776410892323
75.2,1776410892543
74.0,1776410892743
74.5,1776410892964
74.1,1776410893205
74.1,1776410893424
74.0,1776410893664
75.1,1776410893904
75.5,1776410894123
75.2,1776410894323
74.4,1776410894545
73.9,1776410894784
77.3,1776410895023
74.4,1776410895247
74.0,1776410895484
73.8,1776410895728
74.3,1776410895944
73.7,1776410896183
73.8,1776410896403
72.5,1776410896603
72.3,1776410896828
72.2,1776410897064
72.8,1776410897303
72.8,1776410897526
73.2,1776410897764
73.3,1776410898003
73.9,1776410898224
73.6,1776410898425
73.3,1776410898643
72.7,1776410898884
73.0,1776410899103
72.3,1776410899304
72.9,1776410899523
74.0,1776410899763
73.7,1776410900004
73.7,1776410900223
73.9,1776410900423
75.0,1776410900643
74.7,1776410900864
73.8,1776410901083
74.5,1776410901284
75.0,1776410901503
74.9,1776410901705
74.6,1776410901924
74.8,1776410902124
74.9,1776410902343
75.6,1776410902543
74.2,1776410902763
72.9,1776410902963
72.9,1776410903183
74.1,1776410903384
74.8,1776410903603
73.4,1776410903843
73.1,1776410904064
72.9,1776410904305
74.4,1776410904544
73.0,1776410904763
73.1,1776410904964
73.9,1776410905185
74.3,1776410905423
74.0,1776410905668
74.3,1776410905885
74.9,1776410906085
74.2,1776410906303
74.4,1776410906543
74.4,1776410906764
74.2,1776410907003
74.3,1776410907243
74.4,1776410907464
74.9,1776410907666
73.5,1776410907883
75.5,1776410908083
73.7,1776410908303
72.9,1776410908504
73.0,1776410908723
72.3,1776410908964
72.6,1776410909184
72.3,1776410909424
72.8,1776410909643
73.2,1776410909864
73.7,1776410910105
72.5,1776410910344
72.6,1776410910564
72.1,1776410910805
71.7,1776410911043
72.2,1776410911263
72.1,1776410911503
72.5,1776410911723
72.7,1776410911924
72.4,1776410912145
72.6,1776410912387
76.8,1776410912623
74.5,1776410912844
72.9,1776410913084
72.4,1776410913324
71.4,1776410913545
70.9,1776410913784
72.3,1776410914003
73.7,1776410914203
73.3,1776410914423
72.3,1776410914623
72.8,1776410914843
73.1,1776410915044
72.5,1776410915264
71.4,1776410915503
71.2,1776410915744
70.8,1776410915963
71.9,1776410916163
72.6,1776410916384
72.7,1776410916627
72.4,1776410916845
72.6,1776410917084
73.3,1776410917326
72.4,1776410917543
72.2,1776410917745
71.8,1776410917963
72.8,1776410918164
71.2,1776410918383
72.1,1776410918603
72.8,1776410918844
74.5,1776410919063
73.6,1776410919305
75.4,1776410919523
74.2,1776410919723
73.7,1776410919944
73.2,1776410920144
73.2,1776410920363
73.0,1776410920563
73.9,1776410920782
73.5,1776410920983
73.3,1776410921205
75.3,1776410921405
73.7,1776410921625
73.9,1776410921864
74.4,1776410922084
74.5,1776410922324
74.7,1776410922563
75.0,1776410922784
74.8,1776410923023
74.9,1776410923265
76.7,1776410923484
75.7,1776410923723
77.5,1776410923963
78.1,1776410924184
76.8,1776410924423
77.5,1776410924644
76.6,1776410924884
76.0,1776410925124
76.3,1776410925345
76.6,1776410925586
78.3,1776410925824
77.5,1776410926044
78.3,1776410926284
78.3,1776410926523
80.3,1776410926745
81.3,1776410926984
80.8,1776410927205
82.2,1776410927423
81.4,1776410927663
80.1,1776410927883
80.9,1776410928084
82.1,1776410928303
83.3,1776410928503
80.3,1776410928723
81.3,1776410928923
81.6,1776410929145
80.0,1776410929383
80.3,1776410929604
82.8,1776410929843
81.3,1776410930083
81.4,1776410930303
79.9,1776410930503
79.2,1776410930723
80.0,1776410930924
80.6,1776410931144
78.8,1776410931344
79.8,1776410931563
80.0,1776410931803
77.9,1776410932023
79.5,1776410932266
78.5,1776410932503
78.8,1776410932723
81.6,1776410932923
78.4,1776410933143
79.7,1776410933346
79.3,1776410933564
80.7,1776410933803
81.4,1776410934044
80.0,1776410934263
77.9,1776410934503
78.1,1776410934723
84.4,1776410934924
85.1,1776410935143
82.8,1776410935343
81.1,1776410935563
81.9,1776410935763
81.4,1776410935983
84.5,1776410936203
82.3,1776410936443
82.6,1776410936663
83.8,1776410936903
79.9,1776410937124
80.4,1776410937363
86.1,1776410937606
83.5,1776410937823
84.5,1776410938025
81.8,1776410938244
81.3,1776410938483
80.3,1776410938727
80.3,1776410938943
79.4,1776410939143
80.1,1776410939364
80.8,1776410939603
81.5,1776410939827
80.8,1776410940063
81.8,1776410940303
80.1,1776410940527
79.7,1776410940764
78.8,1776410941004
79.8,1776410941223
78.1,1776410941425
78.5,1776410941644
78.0,1776410941844
77.8,1776410942064
78.4,1776410942303
77.8,1776410942522
76.0,1776410942722
76.9,1776410942942
76.1,1776410943142
75.4,1776410943363
77.2,1776410943604
76.5,1776410943843
76.3,1776410944063
75.8,1776410944303
75.7,1776410944523
76.8,1776410944762
76.5,1776410944983
76.0,1776410945202
75.7,1776410945402
77.0,1776410945623
77.4,1776410945864
77.9,1776410946103
77.5,1776410946323
78.4,1776410946564
78.8,1776410946803
78.4,1776410947023
79.0,1776410947263
80.2,1776410947482
80.2,1776410947683
77.9,1776410947903
