Recorded date: Apr 17, 2026, 14:35:53
Export date: Apr 18, 2026, 18:39:57
Min (dB-A): 70.4
Max (dB-A): 82.7
Peak (dB-A): 85.8
Avg (dB-A): 74.6
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
74.2,1776411268162
73.8,1776411268402
72.7,1776411268643
71.9,1776411268860
72.5,1776411269105
72.1,1776411269322
72.1,1776411269522
72.1,1776411269741
71.2,1776411269942
72.3,1776411270161
71.1,1776411270361
71.9,1776411270581
71.6,1776411270781
72.0,1776411271004
71.9,1776411271243
73.2,1776411271462
72.6,1776411271702
71.5,1776411271942
71.8,1776411272161
72.4,1776411272361
71.6,1776411272582
71.1,1776411272782
71.6,1776411273001
72.1,1776411273202
71.6,1776411273422
71.5,1776411273664
70.7,1776411273902
70.4,1776411274121
71.1,1776411274363
71.9,1776411274584
72.3,1776411274823
73.1,1776411275064
72.2,1776411275281
71.0,1776411275487
71.6,1776411275701
71.3,1776411275902
70.7,1776411276121
72.4,1776411276342
73.5,1776411276561
71.6,1776411276761
71.7,1776411276983
71.7,1776411277222
71.8,1776411277462
71.6,1776411277682
72.1,1776411277885
72.4,1776411278104
71.5,1776411278341
72.1,1776411278584
73.5,1776411278802
72.7,1776411279045
74.3,1776411279261
73.7,1776411279503
74.1,1776411279741
73.8,1776411279960
73.9,1776411280161
73.0,1776411280382
75.2,1776411280583
76.5,1776411280802
75.7,1776411281009
77.1,1776411281222
73.6,1776411281463
73.5,1776411281682
73.4,1776411281924
74.5,1776411282161
75.1,1776411282381
73.0,1776411282581
75.1,1776411282804
73.8,1776411283043
74.3,1776411283282
75.7,1776411283501
74.8,1776411283701
72.9,1776411283921
73.4,1776411284121
74.3,1776411284342
73.8,1776411284581
77.3,1776411284802
74.7,1776411285002
72.5,1776411285202
73.8,1776411285445
73.2,1776411285681
72.8,1776411285901
73.8,1776411286101
74.1,1776411286321
72.2,1776411286521
73.1,1776411286743
75.2,1776411286981
72.3,1776411287201
72.2,1776411287401
72.6,1776411287621
73.2,1776411287821
75.4,1776411288041
72.3,1776411288242
71.8,1776411288462
71.6,1776411288664
72.8,1776411288883
72.7,1776411289122
71.5,1776411289341
74.5,1776411289541
74.0,1776411289764
75.9,1776411290002
75.0,1776411290242
74.7,1776411290461
72.5,1776411290662
71.6,1776411290883
75.2,1776411291123
71.6,1776411291362
71.1,1776411291581
74.3,1776411291782
73.6,1776411292002
73.7,1776411292241
72.5,1776411292462
71.4,1776411292663
73.5,1776411292883
73.2,1776411293122
74.4,1776411293366
75.7,1776411293582
74.9,1776411293822
73.0,1776411294041
72.6,1776411294261
73.7,1776411294501
74.6,1776411294724
78.4,1776411294961
74.8,1776411295201
74.0,1776411295422
74.0,1776411295622
72.5,1776411295843
72.7,1776411296081
75.5,1776411296322
73.4,1776411296541
75.1,1776411296741
75.1,1776411296960
76.8,1776411297201
76.2,1776411297422
73.1,1776411297661
74.1,1776411297902
74.6,1776411298121
72.1,1776411298361
71.9,1776411298600
73.9,1776411298821
73.0,1776411299021
79.1,1776411299242
78.2,1776411299443
73.2,1776411299662
72.8,1776411299902
80.7,1776411300121
76.3,1776411300321
73.3,1776411300541
74.0,1776411300742
74.4,1776411300962
72.9,1776411301162
72.6,1776411301383
72.7,1776411301621
72.1,1776411301861
71.9,1776411302082
71.8,1776411302320
73.4,1776411302543
71.7,1776411302761
71.3,1776411303001
71.6,1776411303221
71.9,1776411303422
71.3,1776411303642
72.2,1776411303842
72.5,1776411304061
72.4,1776411304261
73.1,1776411304481
73.2,1776411304721
73.0,1776411304942
73.4,1776411305144
73.6,1776411305362
73.3,1776411305602
73.3,1776411305843
72.1,1776411306064
71.8,1776411306303
71.2,1776411306543
71.7,1776411306763
76.5,1776411306963
79.0,1776411307184
75.0,1776411307423
77.5,1776411307644
76.3,1776411307883
78.6,1776411308122
77.0,1776411308343
74.1,1776411308583
73.1,1776411308821
73.0,1776411309041
75.5,1776411309243
73.7,1776411309463
73.2,1776411309702
76.3,1776411309923
73.8,1776411310163
75.1,1776411310403
76.0,1776411310623
82.2,1776411310824
76.5,1776411311043
77.3,1776411311244
77.8,1776411311463
76.5,1776411311683
75.1,1776411311923
75.5,1776411312143
82.7,1776411312383
77.1,1776411312603
80.8,1776411312844
81.4,1776411313082
75.8,1776411313302
76.0,1776411313542
74.4,1776411313783
73.9,1776411314003
73.0,1776411314211
76.0,1776411314423
79.8,1776411314663
79.7,1776411314883
79.9,1776411315123
81.5,1776411315363
78.1,1776411315584
80.1,1776411315823
76.2,1776411316064
73.7,1776411316283
77.2,1776411316523
75.4,1776411316761
77.2,1776411316980
74.7,1776411317182
75.3,1776411317402
75.5,1776411317641
73.9,1776411317863
73.0,1776411318103
78.5,1776411318341
73.3,1776411318563
73.5,1776411318801
76.9,1776411319043
77.3,1776411319261
71.9,1776411319461
71.9,1776411319684
72.5,1776411319921
72.3,1776411320141
71.5,1776411320361
71.4,1776411320603
72.6,1776411320823
73.8,1776411321063
73.6,1776411321303
72.6,1776411321523
71.8,1776411321763
71.5,1776411322004
73.0,1776411322223
77.6,1776411322423
74.8,1776411322643
71.8,1776411322883
74.4,1776411323103
76.1,1776411323343
78.7,1776411323583
76.4,1776411323804
75.0,1776411324043
71.8,1776411324282
71.6,1776411324501
70.6,1776411324702
75.1,1776411324923
76.4,1776411325164
73.1,1776411325384
75.8,1776411325624
73.7,1776411325863
76.0,1776411326083
76.0,1776411326321
72.1,1776411326562
72.3,1776411326783
74.4,1776411327023
77.2,1776411327263
72.3,1776411327483
72.9,1776411327723
72.5,1776411327943
74.9,1776411328183
76.4,1776411328423
74.3,1776411328643
71.5,1776411328881
71.4,1776411329101
71.4,1776411329323
72.1,1776411329562
72.7,1776411329803
72.9,1776411330024
72.9,1776411330263
73.2,1776411330484
72.8,1776411330722
73.3,1776411330964
74.3,1776411331181
73.7,1776411331382
73.7,1776411331601
73.3,1776411331802
72.4,1776411332021
74.2,1776411332222
74.3,1776411332441
74.2,1776411332682
74.5,1776411332902
75.0,1776411333142
75.5,1776411333383
74.2,1776411333601
74.4,1776411333803
74.3,1776411334022
73.7,1776411334223
72.6,1776411334445
72.8,1776411334682
73.3,1776411334924
74.3,1776411335143
74.0,1776411335383
74.6,1776411335604
75.3,1776411335843
74.0,1776411336083
74.2,1776411336303
76.0,1776411336504
75.1,1776411336723
74.3,1776411336963
74.4,1776411337203
