Recorded date: Apr 17, 2026, 19:17:12
Export date: Apr 18, 2026, 18:41:40
Min (dB-A): 71.7
Max (dB-A): 86.5
Peak (dB-A): 89.8
Avg (dB-A): 76.9
TWA (dB-A): 47.5
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
77.2,1776428114605
78.0,1776428114823
79.4,1776428115023
78.1,1776428115243
77.1,1776428115444
76.7,1776428115663
77.2,1776428115863
75.8,1776428116083
76.4,1776428116284
75.8,1776428116505
76.0,1776428116745
75.6,1776428116965
77.3,1776428117205
76.0,1776428117445
77.3,1776428117665
76.0,1776428117865
75.4,1776428118085
74.8,1776428118285
74.7,1776428118505
74.0,1776428118745
73.5,1776428118984
75.6,1776428119184
75.4,1776428119424
79.4,1776428119646
76.8,1776428119885
75.7,1776428120123
75.2,1776428120343
74.6,1776428120546
74.9,1776428120764
73.9,1776428120965
75.2,1776428121185
76.0,1776428121386
75.7,1776428121605
75.3,1776428121843
75.1,1776428122064
76.0,1776428122266
75.3,1776428122485
76.0,1776428122725
74.5,1776428122964
74.1,1776428123184
73.2,1776428123386
74.4,1776428123605
75.2,1776428123844
74.7,1776428124084
75.0,1776428124303
75.5,1776428124544
74.0,1776428124763
74.6,1776428124965
74.3,1776428125184
74.8,1776428125384
75.3,1776428125605
74.1,1776428125843
75.2,1776428126083
75.6,1776428126304
75.3,1776428126507
75.5,1776428126724
76.1,1776428126925
74.6,1776428127144
74.2,1776428127384
74.1,1776428127603
75.4,1776428127805
75.6,1776428128066
75.3,1776428128283
76.2,1776428128523
73.9,1776428128766
74.8,1776428128983
75.0,1776428129183
75.3,1776428129403
76.1,1776428129642
75.7,1776428129862
74.9,1776428130062
74.9,1776428130284
73.9,1776428130484
76.1,1776428130705
76.9,1776428130943
76.2,1776428131184
75.5,1776428131403
75.2,1776428131603
75.7,1776428131824
76.2,1776428132063
79.3,1776428132284
75.9,1776428132484
75.9,1776428132703
77.5,1776428132905
79.5,1776428133126
78.1,1776428133366
76.1,1776428133605
74.9,1776428133823
80.3,1776428134026
78.6,1776428134245
77.8,1776428134484
77.2,1776428134705
76.4,1776428134945
77.0,1776428135186
76.8,1776428135404
78.0,1776428135604
76.2,1776428135826
74.9,1776428136065
75.1,1776428136303
76.4,1776428136524
75.6,1776428136743
78.2,1776428136983
79.7,1776428137203
75.9,1776428137443
76.9,1776428137664
77.9,1776428137903
76.6,1776428138143
76.9,1776428138364
75.5,1776428138564
77.1,1776428138783
76.1,1776428138984
79.9,1776428139204
78.0,1776428139444
77.8,1776428139683
75.3,1776428139905
78.3,1776428140145
78.9,1776428140366
80.5,1776428140568
77.5,1776428140784
77.4,1776428140984
78.7,1776428141205
76.8,1776428141445
74.7,1776428141685
74.3,1776428141904
76.8,1776428142104
78.2,1776428142325
77.8,1776428142564
77.0,1776428142784
77.0,1776428142984
78.3,1776428143205
77.7,1776428143406
75.5,1776428143626
75.2,1776428143865
76.3,1776428144104
78.2,1776428144325
75.9,1776428144526
76.2,1776428144746
75.9,1776428144984
75.6,1776428145203
77.1,1776428145404
79.4,1776428145604
75.5,1776428145805
76.7,1776428146025
76.0,1776428146265
76.5,1776428146505
75.4,1776428146725
75.9,1776428146964
74.8,1776428147203
76.0,1776428147425
77.7,1776428147664
78.8,1776428147885
78.0,1776428148091
77.2,1776428148305
77.4,1776428148505
79.7,1776428148725
81.1,1776428148965
80.2,1776428149206
81.2,1776428149425
81.1,1776428149626
81.6,1776428149843
81.9,1776428150085
81.9,1776428150304
81.2,1776428150543
81.9,1776428150783
81.2,1776428151003
80.9,1776428151203
83.0,1776428151423
81.8,1776428151624
81.5,1776428151843
80.6,1776428152044
81.7,1776428152263
81.5,1776428152463
82.6,1776428152684
81.5,1776428152925
79.6,1776428153145
79.4,1776428153383
80.1,1776428153623
80.0,1776428153842
83.5,1776428154043
86.5,1776428154263
81.7,1776428154483
84.5,1776428154723
80.8,1776428154943
79.6,1776428155183
79.3,1776428155402
79.1,1776428155603
79.1,1776428155822
79.3,1776428156023
77.4,1776428156243
77.3,1776428156483
77.0,1776428156723
76.4,1776428156943
79.6,1776428157182
77.4,1776428157426
78.5,1776428157643
78.2,1776428157882
77.5,1776428158102
78.6,1776428158303
77.5,1776428158523
77.8,1776428158763
77.1,1776428159005
78.8,1776428159226
77.6,1776428159464
77.0,1776428159703
74.5,1776428159926
77.9,1776428160165
77.4,1776428160384
77.5,1776428160586
75.4,1776428160805
74.2,1776428161045
74.9,1776428161284
74.8,1776428161505
79.3,1776428161746
80.0,1776428161986
78.8,1776428162205
76.0,1776428162405
76.4,1776428162625
77.2,1776428162865
76.3,1776428163086
75.8,1776428163303
77.0,1776428163545
77.4,1776428163765
76.6,1776428164006
76.3,1776428164245
74.6,1776428164466
75.0,1776428164708
74.4,1776428164944
76.1,1776428165165
75.8,1776428165405
75.0,1776428165625
76.9,1776428165865
75.2,1776428166104
74.8,1776428166327
74.5,1776428166565
74.5,1776428166805
74.6,1776428167025
74.5,1776428167226
76.9,1776428167444
74.4,1776428167645
75.0,1776428167866
76.9,1776428168105
76.1,1776428168325
74.4,1776428168526
77.2,1776428168744
77.5,1776428168945
74.6,1776428169166
78.7,1776428169406
76.5,1776428169645
76.0,1776428169864
76.9,1776428170065
76.9,1776428170284
75.4,1776428170523
75.6,1776428170746
75.5,1776428170986
74.5,1776428171226
75.7,1776428171446
76.8,1776428171686
77.9,1776428171905
75.2,1776428172126
75.0,1776428172364
77.4,1776428172604
75.6,1776428172825
74.3,1776428173065
74.2,1776428173285
75.6,1776428173524
76.8,1776428173766
76.6,1776428173986
76.2,1776428174226
75.3,1776428174465
74.7,1776428174683
76.2,1776428174885
76.1,1776428175105
75.2,1776428175345
75.0,1776428175565
78.5,1776428175804
76.2,1776428176045
74.2,1776428176264
74.9,1776428176504
74.7,1776428176744
75.3,1776428176964
76.5,1776428177203
78.0,1776428177446
78.6,1776428177664
77.3,1776428177865
78.2,1776428178084
77.1,1776428178324
76.5,1776428178545
78.3,1776428178745
81.8,1776428178965
80.8,1776428179204
80.1,1776428179446
78.8,1776428179665
78.4,1776428179868
79.3,1776428180086
79.8,1776428180322
76.9,1776428180564
77.5,1776428180764
79.0,1776428181005
79.5,1776428181224
79.6,1776428181425
78.8,1776428181646
77.4,1776428181885
77.8,1776428182124
77.7,1776428182346
79.8,1776428182584
77.9,1776428182825
79.4,1776428183045
80.8,1776428183286
79.9,1776428183506
79.8,1776428183746
78.4,1776428183983
77.9,1776428184206
76.9,1776428184448
76.3,1776428184685
77.1,1776428184906
76.2,1776428185145
76.2,1776428185385
75.5,1776428185605
75.8,1776428185844
75.3,1776428186064
78.6,1776428186266
78.1,1776428186484
77.6,1776428186685
76.6,1776428186907
76.8,1776428187145
76.7,1776428187384
76.2,1776428187605
75.8,1776428187844
76.2,1776428188085
76.2,1776428188305
75.7,1776428188545
76.9,1776428188764
75.4,1776428188966
75.3,1776428189184
75.2,1776428189385
76.0,1776428189644
76.5,1776428189864
78.0,1776428190102
76.2,1776428190343
76.3,1776428190564
77.7,1776428190803
74.8,1776428191023
75.3,1776428191226
77.4,1776428191443
77.7,1776428191644
79.0,1776428191865
77.5,1776428192065
75.0,1776428192286
78.4,1776428192525
74.1,1776428192764
75.3,1776428192984
76.7,1776428193185
75.8,1776428193408
75.2,1776428193645
75.6,1776428193865
74.4,1776428194106
73.6,1776428194345
74.0,1776428194566
76.1,1776428194806
75.9,1776428195044
76.1,1776428195264
74.6,1776428195464
74.8,1776428195684
76.0,1776428195885
75.6,1776428196105
74.7,1776428196345
74.9,1776428196564
75.7,1776428196765
74.6,1776428196984
76.0,1776428197186
75.7,1776428197403
75.1,1776428197605
74.1,1776428197825
76.6,1776428198026
73.2,1776428198243
73.7,1776428198463
73.8,1776428198683
74.2,1776428198883
74.3,1776428199105
75.8,1776428199344
73.9,1776428199587
73.6,1776428199807
73.5,1776428200043
74.4,1776428200287
74.3,1776428200505
73.7,1776428200705
73.1,1776428200926
75.1,1776428201163
73.9,1776428201384
73.6,1776428201585
74.9,1776428201804
73.7,1776428202004
76.2,1776428202224
74.8,1776428202424
73.6,1776428202646
75.5,1776428202884
74.3,1776428203124
74.5,1776428203344
74.8,1776428203545
73.7,1776428203766
73.6,1776428204004
73.6,1776428204227
73.6,1776428204466
74.5,1776428204705
74.3,1776428204925
72.9,1776428205164
73.3,1776428205406
72.5,1776428205623
72.1,1776428205825
71.7,1776428206046
72.0,1776428206286
72.7,1776428206506
73.9,1776428206745
73.4,1776428206984
73.1,1776428207186
73.7,1776428207426
73.8,1776428207665
72.7,1776428207886
72.5,1776428208128
74.2,1776428208366
73.9,1776428208587
75.8,1776428208825
79.6,1776428209046
81.8,1776428209285
82.8,1776428209525
78.3,1776428209745
75.8,1776428209945
75.2,1776428210166
74.9,1776428210406
74.0,1776428210644
73.4,1776428210864
74.3,1776428211103
74.9,1776428211323
75.3,1776428211523
73.8,1776428211746
74.1,1776428211985
74.6,1776428212224
75.6,1776428212446
74.9,1776428212684
73.0,1776428212925
73.1,1776428213146
74.3,1776428213384
73.4,1776428213625
72.6,1776428213845
72.5,1776428214086
73.4,1776428214304
74.4,1776428214504
73.4,1776428214724
73.4,1776428214964
73.8,1776428215204
74.6,1776428215424
73.7,1776428215663
74.1,1776428215885
73.7,1776428216104
73.2,1776428216344
72.1,1776428216564
72.0,1776428216764
73.0,1776428216983
73.4,1776428217185
73.3,1776428217404
73.4,1776428217604
74.4,1776428217825
73.7,1776428218064
74.0,1776428218305
73.5,1776428218524
73.2,1776428218724
73.7,1776428218943
73.9,1776428219183
73.9,1776428219403
73.5,1776428219603
74.5,1776428219823
74.3,1776428220024
74.4,1776428220245
74.0,1776428220483
75.2,1776428220723
75.3,1776428220943
75.9,1776428221143
76.6,1776428221366
76.2,1776428221603
75.7,1776428221823
74.9,1776428222024
75.0,1776428222244
75.0,1776428222484
74.4,1776428222728
74.9,1776428222943
74.8,1776428223143
75.1,1776428223348
75.3,1776428223588
76.0,1776428223803
76.5,1776428224003
76.4,1776428224223
76.2,1776428224423
74.9,1776428224643
74.6,1776428224863
