Recorded date: Apr 16, 2026, 18:55:41
Export date: Apr 18, 2026, 18:36:03
Min (dB-A): 73.5
Max (dB-A): 83.5
Peak (dB-A): 86.6
Avg (dB-A): 78.9
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
76.2,1776340460896
76.7,1776340461136
77.0,1776340461356
77.4,1776340461556
77.6,1776340461776
78.7,1776340462016
78.4,1776340462257
78.0,1776340462457
78.5,1776340462695
78.7,1776340462935
78.8,1776340463155
77.9,1776340463356
79.0,1776340463575
78.9,1776340463816
79.3,1776340464036
78.5,1776340464236
78.9,1776340464455
79.5,1776340464656
78.7,1776340464875
78.5,1776340465075
79.2,1776340465295
79.5,1776340465496
79.1,1776340465715
79.4,1776340465915
79.5,1776340466134
78.4,1776340466374
78.2,1776340466594
78.7,1776340466794
78.6,1776340467018
78.8,1776340467256
78.2,1776340467496
78.6,1776340467716
78.7,1776340467916
79.6,1776340468136
79.9,1776340468374
79.0,1776340468615
78.9,1776340468836
79.0,1776340469076
78.8,1776340469296
78.2,1776340469496
78.3,1776340469715
78.4,1776340469916
78.4,1776340470138
78.9,1776340470375
78.6,1776340470616
78.3,1776340470837
77.3,1776340471077
78.0,1776340471296
78.2,1776340471515
78.4,1776340471756
77.7,1776340471976
77.4,1776340472178
77.8,1776340472398
77.7,1776340472636
77.5,1776340472876
77.5,1776340473095
77.6,1776340473295
78.1,1776340473515
78.4,1776340473715
77.9,1776340473935
78.6,1776340474176
78.2,1776340474395
78.8,1776340474635
78.6,1776340474875
78.1,1776340475094
78.5,1776340475295
78.2,1776340475516
77.7,1776340475756
78.1,1776340475996
78.2,1776340476216
78.3,1776340476456
78.5,1776340476676
79.0,1776340476916
78.9,1776340477156
78.4,1776340477375
78.9,1776340477615
78.7,1776340477855
78.7,1776340478076
78.4,1776340478315
78.9,1776340478555
79.2,1776340478775
79.4,1776340478978
79.5,1776340479195
79.0,1776340479435
79.3,1776340479655
79.4,1776340479894
79.0,1776340480116
78.7,1776340480335
79.2,1776340480575
79.3,1776340480816
79.7,1776340481036
80.6,1776340481275
79.7,1776340481515
79.5,1776340481735
80.0,1776340481975
79.4,1776340482195
79.4,1776340482395
79.3,1776340482615
82.9,1776340482816
82.1,1776340483035
79.9,1776340483235
80.1,1776340483455
79.6,1776340483655
79.2,1776340483876
79.0,1776340484116
79.3,1776340484335
79.2,1776340484536
79.3,1776340484756
79.4,1776340484956
79.5,1776340485175
79.3,1776340485375
79.3,1776340485596
79.2,1776340485835
78.9,1776340486075
78.5,1776340486296
79.3,1776340486536
78.8,1776340486756
79.1,1776340486956
79.4,1776340487177
78.9,1776340487378
78.3,1776340487596
78.8,1776340487841
79.2,1776340488076
78.7,1776340488295
78.4,1776340488496
79.0,1776340488717
78.8,1776340488936
78.7,1776340489178
79.0,1776340489394
78.9,1776340489636
78.8,1776340489856
78.0,1776340490056
79.1,1776340490277
78.8,1776340490516
77.9,1776340490758
78.1,1776340490977
79.1,1776340491216
79.0,1776340491456
78.7,1776340491675
78.6,1776340491915
79.1,1776340492134
78.9,1776340492336
78.3,1776340492555
78.2,1776340492796
78.7,1776340493035
79.1,1776340493255
78.4,1776340493455
77.7,1776340493676
78.3,1776340493915
77.5,1776340494155
77.4,1776340494375
77.9,1776340494616
78.3,1776340494835
78.3,1776340495036
78.5,1776340495256
78.7,1776340495466
79.1,1776340495676
78.7,1776340495916
78.2,1776340496156
78.7,1776340496376
78.9,1776340496616
79.1,1776340496856
78.7,1776340497075
79.3,1776340497318
80.0,1776340497536
79.5,1776340497757
79.2,1776340497996
79.5,1776340498216
78.2,1776340498457
78.2,1776340498696
78.1,1776340498916
77.9,1776340499117
78.6,1776340499335
78.6,1776340499576
78.9,1776340499798
78.8,1776340500036
78.5,1776340500276
78.7,1776340500496
78.4,1776340500735
78.3,1776340500975
78.7,1776340501196
78.4,1776340501400
78.8,1776340501615
79.2,1776340501815
78.8,1776340502035
80.4,1776340502276
79.6,1776340502496
79.7,1776340502736
79.2,1776340502978
78.4,1776340503196
79.2,1776340503436
79.4,1776340503679
79.0,1776340503896
78.7,1776340504096
79.0,1776340504315
79.3,1776340504516
79.4,1776340504737
79.3,1776340504976
78.6,1776340505196
78.9,1776340505436
79.4,1776340505676
79.9,1776340505897
79.4,1776340506140
79.4,1776340506355
79.5,1776340506576
79.8,1776340506776
79.7,1776340506996
79.6,1776340507236
80.1,1776340507454
81.6,1776340507658
79.6,1776340507875
79.7,1776340508076
79.3,1776340508295
79.8,1776340508496
79.8,1776340508716
79.3,1776340508916
79.5,1776340509135
79.1,1776340509375
79.6,1776340509617
79.0,1776340509837
79.0,1776340510075
79.6,1776340510296
78.7,1776340510537
79.3,1776340510776
79.4,1776340510997
81.3,1776340511236
79.7,1776340511477
79.4,1776340511696
79.4,1776340511896
79.7,1776340512115
79.4,1776340512357
79.7,1776340512576
79.3,1776340512776
79.4,1776340512996
79.5,1776340513236
79.6,1776340513477
79.2,1776340513696
79.0,1776340513896
80.9,1776340514115
83.5,1776340514315
80.4,1776340514536
80.7,1776340514778
79.8,1776340514996
79.5,1776340515215
79.4,1776340515455
79.6,1776340515678
79.7,1776340515919
80.0,1776340516160
79.8,1776340516375
80.3,1776340516575
79.7,1776340516797
79.5,1776340517036
79.6,1776340517277
79.9,1776340517496
80.3,1776340517736
79.9,1776340517955
79.9,1776340518157
80.1,1776340518376
80.3,1776340518616
80.0,1776340518856
80.2,1776340519076
80.1,1776340519276
79.8,1776340519495
80.0,1776340519696
79.9,1776340519916
80.8,1776340520156
80.2,1776340520375
80.4,1776340520575
80.3,1776340520798
80.1,1776340521036
81.3,1776340521278
80.7,1776340521496
80.2,1776340521696
80.1,1776340521918
80.9,1776340522157
80.2,1776340522395
