Recorded date: Apr 17, 2026, 19:20:52
Export date: Apr 18, 2026, 18:42:00
Min (dB-A): 72.6
Max (dB-A): 88.6
Peak (dB-A): 94.4
Avg (dB-A): 77.7
TWA (dB-A): 48.1
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
75.3,1776428344553
77.9,1776428344753
76.1,1776428344972
73.9,1776428345172
75.3,1776428345393
75.6,1776428345632
76.8,1776428345872
75.7,1776428346092
77.4,1776428346332
76.8,1776428346572
78.3,1776428346793
76.4,1776428347031
77.8,1776428347252
77.9,1776428347452
75.7,1776428347672
76.0,1776428347872
77.5,1776428348092
75.5,1776428348294
75.5,1776428348513
76.3,1776428348713
74.9,1776428348933
75.0,1776428349133
76.3,1776428349354
76.8,1776428349596
76.4,1776428349813
75.8,1776428350014
76.9,1776428350233
75.1,1776428350454
76.0,1776428350694
78.3,1776428350914
77.4,1776428351114
76.3,1776428351334
74.3,1776428351573
80.0,1776428351794
75.8,1776428352034
73.8,1776428352274
75.0,1776428352493
75.1,1776428352694
73.5,1776428352913
73.8,1776428353114
73.8,1776428353334
73.2,1776428353573
72.6,1776428353812
73.7,1776428354033
74.1,1776428354272
75.2,1776428354493
75.8,1776428354733
73.8,1776428354973
76.5,1776428355194
75.2,1776428355433
75.7,1776428355672
76.3,1776428355892
73.9,1776428356093
74.4,1776428356312
73.2,1776428356512
73.1,1776428356734
74.0,1776428356974
74.3,1776428357192
74.2,1776428357393
74.4,1776428357613
74.0,1776428357853
73.0,1776428358092
72.6,1776428358312
73.7,1776428358513
73.0,1776428358732
72.7,1776428358932
73.3,1776428359192
72.6,1776428359413
73.3,1776428359653
73.5,1776428359873
73.4,1776428360074
79.4,1776428360292
78.7,1776428360493
79.4,1776428360713
79.2,1776428360953
73.0,1776428361193
73.2,1776428361414
73.5,1776428361654
73.2,1776428361894
74.7,1776428362111
75.2,1776428362352
76.2,1776428362576
75.1,1776428362812
76.0,1776428363051
76.6,1776428363273
74.9,1776428363516
75.9,1776428363752
75.1,1776428363972
76.8,1776428364212
74.9,1776428364452
75.3,1776428364673
76.0,1776428364912
75.3,1776428365134
75.0,1776428365376
75.0,1776428365613
72.7,1776428365834
88.6,1776428366036
84.0,1776428366255
74.3,1776428366492
74.1,1776428366744
74.1,1776428366953
74.1,1776428367192
75.3,1776428367416
75.1,1776428367652
75.5,1776428367872
74.6,1776428368092
76.1,1776428368292
75.5,1776428368512
76.0,1776428368713
77.2,1776428368932
76.3,1776428369172
75.2,1776428369418
75.9,1776428369632
76.7,1776428369872
78.1,1776428370091
77.5,1776428370292
75.8,1776428370511
76.5,1776428370712
76.6,1776428370931
76.7,1776428371132
