Recorded date: Apr 16, 2026, 19:04:08
Export date: Apr 18, 2026, 18:37:22
Min (dB-A): 67.7
Max (dB-A): 86.8
Peak (dB-A): 90.4
Avg (dB-A): 77.0
TWA (dB-A): 42.3
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
72.2,1776340959128
72.3,1776340959367
71.8,1776340959609
72.1,1776340959828
72.5,1776340960068
71.8,1776340960287
72.1,1776340960490
71.6,1776340960707
71.0,1776340960907
71.6,1776340961127
73.1,1776340961327
72.0,1776340961547
71.0,1776340961747
72.2,1776340961967
73.5,1776340962170
74.4,1776340962388
72.4,1776340962627
73.3,1776340962846
73.6,1776340963048
72.8,1776340963267
72.3,1776340963467
73.8,1776340963687
74.8,1776340963929
75.5,1776340964169
75.6,1776340964387
74.9,1776340964588
75.3,1776340964807
75.9,1776340965049
75.5,1776340965268
76.7,1776340965507
76.2,1776340965748
77.1,1776340965967
77.8,1776340966168
76.2,1776340966387
75.3,1776340966589
78.0,1776340966808
75.9,1776340967047
75.2,1776340967267
74.9,1776340967488
75.6,1776340967727
74.8,1776340967947
73.4,1776340968147
75.3,1776340968366
74.8,1776340968567
76.1,1776340968787
81.8,1776340968987
73.1,1776340969207
73.6,1776340969447
72.9,1776340969688
73.6,1776340969907
72.7,1776340970149
72.6,1776340970368
72.1,1776340970568
72.5,1776340970787
72.0,1776340970990
83.6,1776340971207
73.7,1776340971408
75.1,1776340971626
73.8,1776340971828
72.7,1776340972049
73.5,1776340972249
72.9,1776340972469
74.2,1776340972707
76.1,1776340972927
83.0,1776340973167
73.3,1776340973409
70.4,1776340973628
71.0,1776340973830
69.8,1776340974047
69.5,1776340974248
71.1,1776340974467
70.7,1776340974706
74.0,1776340974946
73.1,1776340975167
69.3,1776340975407
69.7,1776340975626
67.7,1776340975828
68.4,1776340976047
69.5,1776340976267
68.8,1776340976506
69.6,1776340976728
68.9,1776340976967
69.9,1776340977206
68.7,1776340977429
69.8,1776340977666
70.4,1776340977887
68.5,1776340978128
67.8,1776340978367
70.2,1776340978587
68.4,1776340978787
69.7,1776340979008
70.5,1776340979247
71.4,1776340979487
75.5,1776340979707
75.0,1776340979907
74.4,1776340980127
74.2,1776340980367
74.4,1776340980587
73.9,1776340980789
73.8,1776340981007
74.4,1776340981208
73.6,1776340981427
73.8,1776340981627
73.8,1776340981848
75.7,1776340982087
73.9,1776340982327
75.2,1776340982548
75.0,1776340982750
74.6,1776340982966
74.2,1776340983212
74.3,1776340983429
83.2,1776340983667
78.5,1776340983908
76.0,1776340984129
76.2,1776340984367
75.7,1776340984607
75.4,1776340984827
75.7,1776340985048
76.0,1776340985290
76.9,1776340985507
77.5,1776340985747
76.5,1776340985967
76.6,1776340986169
76.9,1776340986390
76.3,1776340986593
76.7,1776340986808
76.1,1776340987047
76.3,1776340987290
76.0,1776340987508
75.1,1776340987748
74.9,1776340987967
74.3,1776340988167
74.7,1776340988386
74.3,1776340988587
75.0,1776340988807
76.1,1776340989007
75.2,1776340989227
75.8,1776340989467
76.1,1776340989707
75.9,1776340989927
75.4,1776340990127
75.1,1776340990347
75.5,1776340990587
75.8,1776340990809
75.9,1776340991047
76.7,1776340991291
79.8,1776340991508
78.8,1776340991748
78.3,1776340991991
78.4,1776340992207
78.8,1776340992407
78.5,1776340992628
76.9,1776340992867
77.8,1776340993087
78.2,1776340993288
77.9,1776340993507
79.7,1776340993727
79.4,1776340993967
79.0,1776340994186
79.0,1776340994387
77.0,1776340994608
78.3,1776340994847
77.1,1776340995088
79.3,1776340995307
80.1,1776340995507
78.6,1776340995726
79.6,1776340995967
78.3,1776340996188
76.3,1776340996427
79.1,1776340996667
77.7,1776340996889
80.2,1776340997128
79.0,1776340997367
78.4,1776340997587
76.8,1776340997787
75.5,1776340998007
77.0,1776340998248
79.5,1776340998468
81.1,1776340998707
78.2,1776340998947
79.2,1776340999167
77.5,1776340999408
76.7,1776340999652
75.8,1776340999867
81.7,1776341000107
81.2,1776341000348
80.8,1776341000567
80.6,1776341000807
78.2,1776341001027
79.9,1776341001228
79.5,1776341001446
80.2,1776341001647
78.4,1776341001867
76.5,1776341002067
79.4,1776341002287
80.1,1776341002507
80.6,1776341002746
81.2,1776341002967
