Recorded date: Apr 16, 2026, 19:01:14
Export date: Apr 18, 2026, 18:37:05
Min (dB-A): 67.9
Max (dB-A): 82.7
Peak (dB-A): 86.9
Avg (dB-A): 76.5
TWA (dB-A): 40.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
71.5,1776340807768
71.3,1776340808007
71.3,1776340808229
71.1,1776340808467
72.6,1776340808707
70.9,1776340808928
70.4,1776340809129
70.8,1776340809388
68.5,1776340809610
70.2,1776340809849
70.4,1776340810090
72.6,1776340810309
74.4,1776340810511
71.5,1776340810728
73.3,1776340810969
73.1,1776340811189
71.8,1776340811389
72.9,1776340811609
69.4,1776340811850
71.5,1776340812089
68.9,1776340812308
68.5,1776340812508
70.6,1776340812729
70.6,1776340812968
71.0,1776340813190
70.0,1776340813428
68.5,1776340813668
68.1,1776340813888
69.1,1776340814088
70.6,1776340814308
69.1,1776340814508
71.9,1776340814728
76.7,1776340814968
69.5,1776340815209
69.5,1776340815430
71.9,1776340815669
69.5,1776340815889
67.9,1776340816089
73.3,1776340816310
70.0,1776340816549
71.6,1776340816789
71.2,1776340817010
70.5,1776340817249
70.3,1776340817490
70.0,1776340817709
68.6,1776340817910
68.3,1776340818172
68.2,1776340818389
69.2,1776340818629
69.6,1776340818849
72.7,1776340819050
71.9,1776340819268
70.8,1776340819469
71.1,1776340819689
72.0,1776340819889
69.9,1776340820109
69.2,1776340820350
67.9,1776340820589
69.4,1776340820808
69.0,1776340821050
68.6,1776340821269
69.1,1776340821508
70.0,1776340821748
73.0,1776340821967
69.4,1776340822167
71.2,1776340822388
69.0,1776340822628
71.2,1776340822868
71.0,1776340823090
71.1,1776340823331
70.5,1776340823549
68.7,1776340823789
69.2,1776340824029
70.2,1776340824248
70.0,1776340824448
72.2,1776340824670
73.3,1776340824909
71.7,1776340825147
68.5,1776340825369
69.9,1776340825609
70.9,1776340825849
71.7,1776340826069
71.2,1776340826309
70.2,1776340826529
69.9,1776340826729
71.3,1776340826989
71.7,1776340827209
70.1,1776340827409
