Recorded date: Apr 17, 2026, 19:04:28
Export date: Apr 18, 2026, 18:40:41
Min (dB-A): 72.6
Max (dB-A): 82.3
Peak (dB-A): 86.9
Avg (dB-A): 76.6
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
76.5,1776427403632
75.1,1776427403850
76.5,1776427404090
75.2,1776427404311
76.0,1776427404551
75.8,1776427404791
75.3,1776427405009
75.2,1776427405230
75.2,1776427405473
77.8,1776427405690
78.1,1776427405930
77.2,1776427406170
76.1,1776427406390
74.7,1776427406630
76.5,1776427406850
78.5,1776427407050
75.9,1776427407270
77.2,1776427407510
77.3,1776427407750
76.9,1776427407969
77.3,1776427408170
78.4,1776427408390
78.0,1776427408630
78.2,1776427408871
78.7,1776427409091
77.1,1776427409332
79.4,1776427409550
77.7,1776427409791
75.6,1776427410030
75.4,1776427410250
77.4,1776427410450
75.9,1776427410670
74.6,1776427410910
73.8,1776427411151
73.9,1776427411369
75.2,1776427411569
75.8,1776427411792
76.9,1776427412030
74.9,1776427412251
73.1,1776427412492
72.6,1776427412735
77.5,1776427412949
76.8,1776427413150
79.1,1776427413372
78.9,1776427413574
76.8,1776427413791
77.9,1776427414010
74.6,1776427414231
74.7,1776427414469
74.9,1776427414709
74.2,1776427414931
74.0,1776427415170
74.0,1776427415410
74.8,1776427415631
74.2,1776427415870
74.9,1776427416109
74.7,1776427416330
75.0,1776427416570
73.5,1776427416791
76.1,1776427417032
76.1,1776427417274
82.3,1776427417490
77.9,1776427417691
75.0,1776427417910
76.8,1776427418110
75.9,1776427418331
74.8,1776427418569
75.3,1776427418810
75.3,1776427419030
74.2,1776427419230
73.7,1776427419450
74.6,1776427419690
74.7,1776427419913
73.1,1776427420150
73.4,1776427420390
72.8,1776427420610
73.5,1776427420810
73.5,1776427421030
74.0,1776427421231
75.0,1776427421452
74.4,1776427421689
78.5,1776427421910
74.2,1776427422111
74.1,1776427422331
74.3,1776427422532
74.2,1776427422752
74.1,1776427422970
74.8,1776427423209
75.1,1776427423431
75.7,1776427423670
74.9,1776427423914
74.1,1776427424131
73.6,1776427424331
74.2,1776427424552
74.0,1776427424789
74.0,1776427425010
75.9,1776427425252
75.3,1776427425490
74.7,1776427425710
75.1,1776427425951
75.6,1776427426191
74.0,1776427426411
74.2,1776427426651
75.1,1776427426890
75.3,1776427427111
75.8,1776427427353
76.5,1776427427570
75.0,1776427427809
75.0,1776427428053
75.3,1776427428271
74.7,1776427428511
75.6,1776427428751
74.9,1776427428970
74.9,1776427429170
75.3,1776427429391
75.6,1776427429630
76.3,1776427429851
75.5,1776427430053
75.4,1776427430271
75.1,1776427430471
74.9,1776427430691
75.7,1776427430933
75.9,1776427431170
75.7,1776427431390
76.1,1776427431609
76.4,1776427431848
76.0,1776427432069
76.6,1776427432308
76.3,1776427432528
76.2,1776427432729
76.4,1776427432948
76.9,1776427433148
77.1,1776427433369
78.0,1776427433609
76.7,1776427433849
76.8,1776427434069
77.1,1776427434269
77.4,1776427434489
76.9,1776427434729
77.5,1776427434949
77.7,1776427435150
77.4,1776427435370
78.4,1776427435610
78.1,1776427435849
78.0,1776427436070
78.6,1776427436270
78.2,1776427436492
78.3,1776427436730
78.6,1776427436969
79.4,1776427437189
77.3,1776427437429
78.2,1776427437649
79.5,1776427437850
79.1,1776427438070
77.6,1776427438309
78.1,1776427438549
78.0,1776427438770
78.0,1776427438971
79.0,1776427439189
78.9,1776427439390
79.0,1776427439611
78.9,1776427439849
77.4,1776427440070
77.7,1776427440309
77.6,1776427440530
78.8,1776427440749
78.2,1776427440949
77.7,1776427441170
78.2,1776427441374
77.9,1776427441591
78.7,1776427441830
79.8,1776427442076
77.7,1776427442291
77.1,1776427442530
77.6,1776427442749
77.0,1776427442989
77.2,1776427443230
77.1,1776427443451
77.9,1776427443690
78.7,1776427443931
79.3,1776427444151
78.9,1776427444392
78.2,1776427444630
78.7,1776427444851
79.1,1776427445090
80.9,1776427445310
77.5,1776427445552
76.8,1776427445790
77.2,1776427446010
77.2,1776427446210
77.4,1776427446431
76.6,1776427446669
77.8,1776427446910
76.9,1776427447130
78.3,1776427447332
77.2,1776427447551
77.6,1776427447792
76.6,1776427448011
76.7,1776427448251
77.5,1776427448490
77.1,1776427448710
76.2,1776427448950
79.7,1776427449170
77.9,1776427449390
76.4,1776427449630
76.1,1776427449869
76.3,1776427450091
76.2,1776427450332
76.3,1776427450550
75.9,1776427450751
75.9,1776427450970
76.0,1776427451172
77.1,1776427451390
76.4,1776427451591
76.8,1776427451811
76.7,1776427452012
76.7,1776427452230
75.3,1776427452469
74.9,1776427452689
