Recorded date: Apr 17, 2026, 13:57:17
Export date: Apr 18, 2026, 18:39:18
Min (dB-A): 65.0
Max (dB-A): 83.3
Peak (dB-A): 90.2
Avg (dB-A): 69.5
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
67.9,1776408933531
68.6,1776408933772
68.5,1776408934011
68.6,1776408934232
68.4,1776408934473
68.8,1776408934712
68.3,1776408934931
69.2,1776408935172
70.2,1776408935393
68.9,1776408935632
68.8,1776408935872
68.2,1776408936092
68.7,1776408936332
68.6,1776408936571
69.1,1776408936791
68.8,1776408936991
69.2,1776408937211
69.7,1776408937450
69.6,1776408937670
69.2,1776408937874
68.4,1776408938090
68.3,1776408938291
69.8,1776408938510
69.3,1776408938710
68.9,1776408938931
68.3,1776408939131
70.7,1776408939351
70.0,1776408939551
70.3,1776408939751
69.8,1776408939991
69.3,1776408940211
68.0,1776408940451
68.0,1776408940694
67.3,1776408940911
67.1,1776408941112
68.1,1776408941334
67.8,1776408941573
67.2,1776408941812
67.5,1776408942033
67.1,1776408942233
66.7,1776408942455
67.2,1776408942693
68.0,1776408942913
68.8,1776408943114
68.5,1776408943335
68.4,1776408943572
67.1,1776408943812
68.8,1776408944036
67.8,1776408944237
67.0,1776408944453
68.5,1776408944657
69.7,1776408944871
67.7,1776408945111
66.2,1776408945333
66.4,1776408945533
66.3,1776408945751
68.0,1776408945954
68.3,1776408946174
68.2,1776408946415
66.7,1776408946654
67.3,1776408946872
65.9,1776408947076
67.5,1776408947292
69.3,1776408947532
69.1,1776408947753
70.6,1776408947953
68.4,1776408948173
69.3,1776408948375
73.7,1776408948636
69.2,1776408948852
69.2,1776408949052
67.6,1776408949278
68.4,1776408949513
67.0,1776408949754
69.5,1776408949981
68.8,1776408950216
67.6,1776408950432
66.9,1776408950672
66.8,1776408950913
66.9,1776408951133
68.0,1776408951373
67.4,1776408951612
69.1,1776408951832
69.3,1776408952034
67.7,1776408952254
66.5,1776408952456
67.1,1776408952672
67.3,1776408952911
67.3,1776408953143
66.9,1776408953374
67.2,1776408953614
67.5,1776408953833
67.9,1776408954073
67.0,1776408954323
67.3,1776408954533
68.0,1776408954733
67.8,1776408954954
66.3,1776408955199
66.8,1776408955413
66.1,1776408955616
67.2,1776408955839
65.4,1776408956072
67.2,1776408956312
67.0,1776408956533
67.2,1776408956776
65.6,1776408957012
65.5,1776408957234
66.7,1776408957457
66.3,1776408957693
68.3,1776408957912
65.7,1776408958152
67.3,1776408958372
67.8,1776408958612
66.6,1776408958859
65.7,1776408959074
65.8,1776408959311
71.0,1776408959551
65.9,1776408959776
68.9,1776408960013
66.5,1776408960252
66.0,1776408960477
65.8,1776408960711
65.8,1776408960933
67.1,1776408961138
67.8,1776408961354
65.8,1776408961560
65.8,1776408961772
66.3,1776408961973
66.6,1776408962192
67.3,1776408962437
66.2,1776408962671
66.9,1776408962892
69.1,1776408963131
66.6,1776408963354
68.0,1776408963591
67.1,1776408963832
66.7,1776408964055
65.0,1776408964293
65.9,1776408964535
67.6,1776408964751
66.5,1776408964953
66.3,1776408965173
66.4,1776408965413
67.9,1776408965632
66.4,1776408965835
66.3,1776408966055
66.8,1776408966272
66.8,1776408966513
66.9,1776408966731
65.4,1776408966937
66.6,1776408967153
68.2,1776408967394
67.9,1776408967632
67.2,1776408967851
67.0,1776408968094
67.8,1776408968314
66.1,1776408968516
66.0,1776408968737
65.7,1776408968981
66.0,1776408969214
68.4,1776408969432
68.2,1776408969634
68.2,1776408969857
65.4,1776408970097
67.5,1776408970334
66.0,1776408970556
66.3,1776408970794
65.3,1776408971015
65.8,1776408971215
65.6,1776408971434
66.6,1776408971673
66.8,1776408971911
67.6,1776408972131
67.1,1776408972373
66.6,1776408972611
67.1,1776408972830
65.6,1776408973030
66.5,1776408973250
66.1,1776408973491
66.1,1776408973712
66.8,1776408973951
66.5,1776408974191
68.4,1776408974411
66.8,1776408974611
66.4,1776408974832
65.8,1776408975054
65.9,1776408975291
66.2,1776408975511
68.2,1776408975752
69.3,1776408975971
67.5,1776408976210
68.1,1776408976450
69.6,1776408976671
68.1,1776408976872
67.2,1776408977090
70.6,1776408977293
68.7,1776408977513
67.7,1776408977755
68.2,1776408977992
67.5,1776408978212
67.9,1776408978453
68.2,1776408978673
67.4,1776408978911
67.6,1776408979153
67.0,1776408979372
67.6,1776408979574
68.8,1776408979790
70.0,1776408979991
68.2,1776408980213
67.8,1776408980453
68.0,1776408980695
68.8,1776408980913
69.5,1776408981153
68.2,1776408981372
68.7,1776408981573
68.9,1776408981794
69.9,1776408982033
69.6,1776408982271
68.1,1776408982490
67.4,1776408982694
66.9,1776408982914
66.7,1776408983150
66.8,1776408983373
67.1,1776408983573
67.4,1776408983831
67.4,1776408984053
67.4,1776408984294
66.6,1776408984534
66.8,1776408984752
66.9,1776408984954
67.3,1776408985174
67.6,1776408985412
67.8,1776408985653
66.3,1776408985872
66.7,1776408986112
68.6,1776408986333
67.6,1776408986575
67.5,1776408986831
69.1,1776408987075
67.5,1776408987310
68.1,1776408987510
69.0,1776408987731
69.3,1776408987971
67.7,1776408988210
67.3,1776408988432
68.0,1776408988672
70.1,1776408988892
69.3,1776408989133
68.5,1776408989374
69.1,1776408989591
68.6,1776408989791
68.3,1776408990013
68.0,1776408990251
69.0,1776408990490
69.5,1776408990713
68.4,1776408990914
69.0,1776408991132
68.1,1776408991372
69.4,1776408991593
68.4,1776408991833
69.8,1776408992072
69.2,1776408992292
68.7,1776408992512
67.5,1776408992754
69.2,1776408992973
69.6,1776408993214
69.6,1776408993453
69.0,1776408993672
68.1,1776408993912
67.9,1776408994132
68.8,1776408994333
69.8,1776408994553
68.9,1776408994793
68.8,1776408995032
68.3,1776408995252
68.2,1776408995452
67.4,1776408995674
69.0,1776408995915
68.7,1776408996132
69.4,1776408996333
69.3,1776408996551
70.1,1776408996752
73.6,1776408996972
68.6,1776408997172
68.8,1776408997393
67.9,1776408997631
67.7,1776408997873
67.7,1776408998093
67.3,1776408998293
67.3,1776408998513
68.9,1776408998751
68.3,1776408998974
68.3,1776408999213
67.9,1776408999454
68.7,1776408999673
67.7,1776408999913
69.0,1776409000153
68.0,1776409000373
68.8,1776409000573
68.1,1776409000791
69.3,1776409001030
72.0,1776409001251
68.9,1776409001470
67.7,1776409001711
67.1,1776409001931
66.9,1776409002170
69.2,1776409002412
69.0,1776409002631
69.1,1776409002833
69.0,1776409003050
69.9,1776409003252
69.7,1776409003471
69.6,1776409003671
69.0,1776409003891
68.2,1776409004132
67.7,1776409004351
67.6,1776409004551
67.7,1776409004771
68.0,1776409004972
