Recorded date: Apr 16, 2026, 17:02:08
Export date: Apr 18, 2026, 18:35:29
Min (dB-A): 64.2
Max (dB-A): 81.2
Peak (dB-A): 84.3
Avg (dB-A): 72.7
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
68.9,1776333609193
69.9,1776333609413
69.4,1776333609613
68.9,1776333609837
68.7,1776333610073
69.3,1776333610313
69.0,1776333610533
69.3,1776333610773
69.0,1776333610993
69.1,1776333611198
72.1,1776333611415
73.0,1776333611653
72.5,1776333611894
72.5,1776333612114
73.2,1776333612353
73.2,1776333612592
73.7,1776333612813
74.0,1776333613014
73.2,1776333613233
71.0,1776333613473
70.2,1776333613693
75.2,1776333613935
75.0,1776333614172
74.4,1776333614393
75.2,1776333614593
76.3,1776333614813
75.2,1776333615014
74.4,1776333615233
73.8,1776333615474
75.6,1776333615693
76.0,1776333615913
75.8,1776333616153
76.3,1776333616373
73.3,1776333616573
73.2,1776333616792
75.7,1776333616992
76.4,1776333617213
75.7,1776333617453
73.9,1776333617692
73.0,1776333617912
72.6,1776333618113
73.8,1776333618333
74.6,1776333618574
73.1,1776333618795
74.7,1776333619032
73.2,1776333619273
73.6,1776333619495
76.2,1776333619735
75.1,1776333619972
73.5,1776333620192
71.4,1776333620393
74.5,1776333620612
72.3,1776333620813
74.5,1776333621033
75.7,1776333621272
73.1,1776333621493
74.6,1776333621735
73.3,1776333621973
72.1,1776333622234
71.4,1776333622452
72.6,1776333622692
74.1,1776333622912
71.6,1776333623113
71.5,1776333623334
70.8,1776333623537
70.6,1776333623752
69.9,1776333623981
74.5,1776333624192
73.2,1776333624393
73.6,1776333624593
73.2,1776333624833
71.2,1776333625077
74.4,1776333625295
74.3,1776333625534
74.6,1776333625779
75.6,1776333625993
76.2,1776333626233
73.1,1776333626453
74.4,1776333626656
72.8,1776333626874
75.2,1776333627075
74.5,1776333627294
74.2,1776333627498
75.1,1776333627715
75.1,1776333627918
77.1,1776333628134
73.5,1776333628341
72.2,1776333628554
74.0,1776333628795
75.4,1776333629012
75.5,1776333629212
75.8,1776333629439
75.4,1776333629674
76.1,1776333629914
74.5,1776333630133
74.1,1776333630335
75.8,1776333630556
74.1,1776333630756
75.5,1776333630974
74.5,1776333631174
73.8,1776333631394
73.1,1776333631638
71.9,1776333631856
70.0,1776333632096
73.5,1776333632336
72.1,1776333632556
70.9,1776333632795
70.0,1776333633036
69.0,1776333633255
69.2,1776333633475
71.4,1776333633716
69.9,1776333633936
69.3,1776333634173
70.9,1776333634394
69.5,1776333634594
68.4,1776333634816
70.2,1776333635060
69.5,1776333635293
74.7,1776333635513
70.4,1776333635721
75.8,1776333635936
68.3,1776333636174
69.2,1776333636392
68.4,1776333636593
67.9,1776333636813
67.8,1776333637014
68.2,1776333637236
67.8,1776333637474
67.4,1776333637717
68.0,1776333637937
70.6,1776333638172
77.4,1776333638413
76.9,1776333638640
75.2,1776333638875
68.7,1776333639096
70.3,1776333639300
71.9,1776333639516
71.2,1776333639756
69.1,1776333639993
68.8,1776333640215
69.7,1776333640457
66.5,1776333640693
67.3,1776333640916
67.6,1776333641155
68.4,1776333641393
68.8,1776333641614
68.2,1776333641854
68.7,1776333642073
68.8,1776333642296
69.0,1776333642536
68.6,1776333642754
68.8,1776333642955
68.2,1776333643173
68.5,1776333643373
68.2,1776333643597
68.5,1776333643836
74.0,1776333644054
69.5,1776333644255
68.0,1776333644476
68.0,1776333644716
67.2,1776333644955
68.6,1776333645172
67.7,1776333645374
67.6,1776333645600
67.1,1776333645835
67.1,1776333646074
67.7,1776333646296
66.6,1776333646533
66.9,1776333646754
66.0,1776333646998
66.4,1776333647236
66.8,1776333647455
66.5,1776333647696
67.4,1776333647937
66.5,1776333648152
66.0,1776333648353
66.4,1776333648573
66.9,1776333648774
66.3,1776333648994
66.0,1776333649233
66.5,1776333649453
66.6,1776333649694
