Recorded date: Apr 17, 2026, 19:18:50
Export date: Apr 18, 2026, 18:41:51
Min (dB-A): 70.3
Max (dB-A): 81.1
Peak (dB-A): 83.8
Avg (dB-A): 75.3
TWA (dB-A): 47.5
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
74.8,1776428245815
74.6,1776428246034
75.7,1776428246275
75.1,1776428246495
74.5,1776428246695
74.8,1776428246915
75.0,1776428247115
74.4,1776428247336
73.4,1776428247577
73.0,1776428247796
72.1,1776428248035
72.7,1776428248275
74.3,1776428248498
75.3,1776428248737
73.4,1776428248974
74.2,1776428249194
74.4,1776428249395
74.0,1776428249615
74.2,1776428249816
73.9,1776428250034
73.9,1776428250276
73.9,1776428250495
73.1,1776428250697
71.9,1776428250915
74.2,1776428251115
73.5,1776428251336
72.3,1776428251575
72.0,1776428251815
72.3,1776428252034
74.5,1776428252237
74.2,1776428252456
72.7,1776428252696
71.3,1776428252915
72.6,1776428253116
72.5,1776428253335
71.8,1776428253538
70.3,1776428253755
71.3,1776428253995
70.8,1776428254235
71.4,1776428254455
71.8,1776428254656
71.9,1776428254915
71.5,1776428255136
71.2,1776428255375
71.8,1776428255596
71.2,1776428255796
71.8,1776428256016
71.7,1776428256217
72.0,1776428256436
71.0,1776428256636
71.3,1776428256854
71.3,1776428257055
70.9,1776428257275
70.9,1776428257514
71.0,1776428257734
71.1,1776428257935
71.3,1776428258155
71.1,1776428258355
71.3,1776428258574
74.4,1776428258774
74.2,1776428258997
73.3,1776428259197
72.5,1776428259417
72.8,1776428259617
72.8,1776428259837
73.5,1776428260076
71.8,1776428260295
71.8,1776428260534
71.3,1776428260778
71.5,1776428260997
72.1,1776428261234
71.3,1776428261477
70.9,1776428261697
70.9,1776428261935
72.1,1776428262174
71.6,1776428262395
71.7,1776428262635
71.9,1776428262856
73.6,1776428263095
73.7,1776428263337
73.6,1776428263557
74.2,1776428263776
75.5,1776428264015
73.1,1776428264236
72.5,1776428264475
72.5,1776428264717
72.6,1776428264937
72.1,1776428265137
74.2,1776428265355
75.1,1776428265597
75.0,1776428265816
74.2,1776428266057
74.8,1776428266297
75.3,1776428266517
75.2,1776428266717
76.3,1776428266938
74.9,1776428267175
74.9,1776428267416
74.0,1776428267637
74.7,1776428267876
74.8,1776428268095
75.1,1776428268296
74.6,1776428268517
75.4,1776428268717
73.8,1776428268937
75.0,1776428269176
74.8,1776428269417
74.2,1776428269637
74.5,1776428269876
75.5,1776428270115
74.9,1776428270334
74.8,1776428270575
75.4,1776428270796
76.5,1776428270997
75.5,1776428271217
75.4,1776428271457
74.7,1776428271696
74.1,1776428271916
74.3,1776428272155
75.0,1776428272375
75.5,1776428272596
75.4,1776428272835
74.2,1776428273055
73.9,1776428273295
75.3,1776428273535
74.6,1776428273755
75.1,1776428273956
74.3,1776428274175
74.6,1776428274375
75.8,1776428274596
77.0,1776428274836
76.4,1776428275075
75.2,1776428275295
74.9,1776428275535
75.1,1776428275755
74.2,1776428275955
74.0,1776428276175
75.3,1776428276415
75.4,1776428276656
76.2,1776428276876
77.1,1776428277076
75.5,1776428277297
74.9,1776428277536
75.6,1776428277777
73.8,1776428277996
74.3,1776428278236
74.6,1776428278456
73.1,1776428278657
74.6,1776428278877
75.0,1776428279077
75.1,1776428279295
75.4,1776428279495
76.0,1776428279714
76.2,1776428279915
75.1,1776428280136
76.3,1776428280375
76.6,1776428280595
76.7,1776428280835
75.3,1776428281077
76.2,1776428281336
77.3,1776428281555
76.3,1776428281755
75.5,1776428281976
74.4,1776428282216
73.6,1776428282457
75.7,1776428282677
77.7,1776428282877
76.0,1776428283097
76.2,1776428283337
76.0,1776428283557
76.7,1776428283795
74.5,1776428284038
75.0,1776428284255
76.7,1776428284496
75.4,1776428284736
76.0,1776428284954
75.6,1776428285155
75.2,1776428285375
74.9,1776428285575
75.3,1776428285795
75.5,1776428286036
74.5,1776428286256
76.2,1776428286495
74.7,1776428286735
75.8,1776428286955
75.9,1776428287155
76.2,1776428287375
75.6,1776428287576
74.8,1776428287795
74.3,1776428287996
75.0,1776428288216
74.5,1776428288455
73.2,1776428288674
72.6,1776428288875
74.8,1776428289098
75.2,1776428289336
74.7,1776428289576
73.3,1776428289796
75.6,1776428290017
76.7,1776428290255
75.5,1776428290475
73.2,1776428290677
75.3,1776428290897
77.4,1776428291136
75.7,1776428291357
74.9,1776428291597
77.4,1776428291836
74.8,1776428292055
72.7,1776428292256
72.8,1776428292475
73.8,1776428292677
74.6,1776428292898
76.1,1776428293135
75.4,1776428293355
75.1,1776428293556
77.0,1776428293775
75.0,1776428293976
74.2,1776428294197
73.2,1776428294436
72.3,1776428294677
73.2,1776428294896
75.1,1776428295097
77.0,1776428295315
76.6,1776428295515
77.9,1776428295737
77.6,1776428295977
75.4,1776428296197
75.0,1776428296435
79.2,1776428296678
76.5,1776428296897
75.7,1776428297136
74.8,1776428297375
77.3,1776428297598
79.3,1776428297835
76.9,1776428298075
76.6,1776428298295
79.8,1776428298535
79.1,1776428298755
76.6,1776428298974
75.6,1776428299215
81.1,1776428299435
80.3,1776428299635
79.1,1776428299857
77.5,1776428300095
78.4,1776428300335
76.2,1776428300555
75.1,1776428300796
76.8,1776428301016
73.9,1776428301255
74.4,1776428301495
75.1,1776428301715
76.9,1776428301915
75.0,1776428302135
75.0,1776428302335
76.1,1776428302555
77.0,1776428302795
76.3,1776428303034
75.2,1776428303254
75.6,1776428303454
74.9,1776428303674
80.6,1776428303915
75.1,1776428304135
76.1,1776428304335
77.5,1776428304556
77.5,1776428304795
75.8,1776428305035
76.2,1776428305255
78.3,1776428305455
75.8,1776428305675
74.4,1776428305915
75.7,1776428306135
76.9,1776428306375
77.2,1776428306615
75.7,1776428306835
76.1,1776428307037
76.7,1776428307255
75.5,1776428307455
75.4,1776428307655
74.8,1776428307857
75.4,1776428308077
75.7,1776428308318
72.8,1776428308557
73.2,1776428308777
73.2,1776428309017
72.7,1776428309237
72.6,1776428309438
73.7,1776428309655
73.6,1776428309856
73.8,1776428310077
74.7,1776428310277
74.9,1776428310495
74.6,1776428310695
75.5,1776428310916
75.1,1776428311116
76.2,1776428311337
74.9,1776428311577
75.2,1776428311797
74.7,1776428312035
74.7,1776428312275
75.4,1776428312496
75.5,1776428312736
74.3,1776428312976
75.2,1776428313195
75.8,1776428313395
75.0,1776428313615
74.2,1776428313856
74.7,1776428314075
75.8,1776428314315
74.5,1776428314555
74.9,1776428314775
75.0,1776428315015
75.1,1776428315255
76.2,1776428315475
75.5,1776428315676
75.9,1776428315895
74.9,1776428316097
75.8,1776428316315
74.4,1776428316535
74.8,1776428316757
74.4,1776428316958
74.3,1776428317176
76.1,1776428317377
76.9,1776428317595
76.1,1776428317796
75.6,1776428318015
76.3,1776428318215
77.3,1776428318435
76.7,1776428318635
77.6,1776428318855
76.8,1776428319095
76.2,1776428319315
76.3,1776428319516
76.3,1776428319737
78.0,1776428319977
78.0,1776428320217
78.0,1776428320437
78.5,1776428320637
78.6,1776428320855
79.5,1776428321055
78.8,1776428321276
78.4,1776428321515
77.9,1776428321735
77.4,1776428321936
76.8,1776428322155
76.8,1776428322365
77.8,1776428322591
77.9,1776428322796
78.2,1776428323019
77.8,1776428323255
77.6,1776428323477
78.9,1776428323703
78.7,1776428323934
79.7,1776428324156
79.4,1776428324396
