Recorded date: Apr 17, 2026, 19:01:55
Export date: Apr 18, 2026, 18:40:19
Min (dB-A): 71.2
Max (dB-A): 83.8
Peak (dB-A): 86.2
Avg (dB-A): 74.9
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
77.1,1776427137199
78.2,1776427137443
78.0,1776427137665
77.5,1776427137900
78.6,1776427138139
77.7,1776427138359
77.9,1776427138559
79.1,1776427138779
79.0,1776427139019
77.6,1776427139244
80.3,1776427139480
78.2,1776427139719
79.8,1776427139941
78.5,1776427140180
77.5,1776427140420
75.8,1776427140643
75.9,1776427140880
75.6,1776427141123
75.2,1776427141340
74.4,1776427141580
74.9,1776427141801
76.2,1776427142040
75.8,1776427142280
78.5,1776427142501
77.5,1776427142741
76.9,1776427142980
75.9,1776427143200
76.4,1776427143440
75.5,1776427143680
74.5,1776427143900
74.2,1776427144141
74.0,1776427144365
75.2,1776427144600
74.9,1776427144820
73.5,1776427145040
75.7,1776427145241
75.6,1776427145460
76.1,1776427145699
76.6,1776427145941
75.7,1776427146160
77.8,1776427146360
77.1,1776427146581
75.9,1776427146820
75.9,1776427147039
74.9,1776427147241
77.0,1776427147460
77.1,1776427147660
78.5,1776427147881
77.2,1776427148120
74.1,1776427148359
72.9,1776427148581
73.6,1776427148820
73.7,1776427149040
74.0,1776427149241
74.5,1776427149460
72.8,1776427149699
73.0,1776427149940
73.2,1776427150161
72.8,1776427150400
72.7,1776427150644
73.3,1776427150861
73.5,1776427151100
73.3,1776427151339
72.8,1776427151563
72.5,1776427151800
72.5,1776427152021
73.2,1776427152221
71.9,1776427152439
72.0,1776427152640
71.8,1776427152861
71.7,1776427153100
72.7,1776427153340
71.7,1776427153561
71.4,1776427153781
72.0,1776427154019
72.0,1776427154239
72.0,1776427154480
72.1,1776427154700
71.8,1776427154900
71.7,1776427155120
72.7,1776427155363
73.1,1776427155599
73.2,1776427155820
73.0,1776427156022
73.8,1776427156239
72.7,1776427156439
72.6,1776427156661
72.9,1776427156900
72.6,1776427157120
72.8,1776427157320
73.4,1776427157539
73.6,1776427157739
73.1,1776427157959
73.6,1776427158159
73.1,1776427158379
73.4,1776427158580
73.3,1776427158801
74.2,1776427159042
73.9,1776427159263
75.8,1776427159499
74.8,1776427159742
74.6,1776427159960
75.5,1776427160160
75.1,1776427160379
75.4,1776427160580
73.6,1776427160804
73.7,1776427161041
75.1,1776427161279
75.6,1776427161500
77.4,1776427161700
77.9,1776427161921
77.9,1776427162160
75.8,1776427162384
74.9,1776427162600
74.7,1776427162843
74.3,1776427163060
74.3,1776427163261
76.2,1776427163480
74.7,1776427163719
75.5,1776427163959
75.3,1776427164179
74.5,1776427164419
73.7,1776427164641
75.7,1776427164879
74.2,1776427165119
73.9,1776427165341
73.5,1776427165542
74.1,1776427165762
73.7,1776427166001
73.5,1776427166239
74.1,1776427166459
74.7,1776427166661
74.1,1776427166883
73.7,1776427167120
73.4,1776427167341
74.3,1776427167580
73.8,1776427167821
73.6,1776427168040
73.1,1776427168240
72.6,1776427168460
73.2,1776427168660
73.0,1776427168880
73.0,1776427169122
73.3,1776427169359
73.5,1776427169581
73.4,1776427169820
74.0,1776427170040
73.8,1776427170281
73.2,1776427170521
72.7,1776427170739
73.0,1776427170941
73.8,1776427171160
73.1,1776427171384
73.1,1776427171620
73.0,1776427171841
73.3,1776427172082
73.5,1776427172301
72.7,1776427172541
72.9,1776427172782
72.8,1776427173000
72.6,1776427173201
72.6,1776427173421
73.2,1776427173662
73.9,1776427173900
74.1,1776427174119
73.2,1776427174320
73.3,1776427174540
73.0,1776427174782
73.8,1776427175001
73.6,1776427175242
73.6,1776427175479
74.0,1776427175699
74.0,1776427175938
74.3,1776427176181
74.7,1776427176401
75.0,1776427176606
74.4,1776427176820
74.3,1776427177059
74.1,1776427177281
74.8,1776427177481
74.1,1776427177706
73.5,1776427177942
74.2,1776427178182
74.0,1776427178400
73.7,1776427178639
74.2,1776427178880
73.5,1776427179102
73.4,1776427179302
73.5,1776427179520
74.0,1776427179759
73.9,1776427179979
75.6,1776427180201
75.7,1776427180440
76.0,1776427180660
74.8,1776427180899
74.5,1776427181139
74.5,1776427181360
76.0,1776427181599
74.5,1776427181840
76.0,1776427182059
77.1,1776427182300
74.9,1776427182519
74.5,1776427182720
75.1,1776427182939
74.4,1776427183139
75.3,1776427183359
75.1,1776427183559
73.3,1776427183779
73.8,1776427183979
75.2,1776427184200
74.7,1776427184400
75.3,1776427184619
74.0,1776427184861
74.8,1776427185080
75.7,1776427185282
