Recorded date: Apr 17, 2026, 19:11:21
Export date: Apr 18, 2026, 18:41:14
Min (dB-A): 67.7
Max (dB-A): 83.1
Peak (dB-A): 89.8
Avg (dB-A): 76.4
TWA (dB-A): 42.6
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
71.0,1776427755782
71.0,1776427756022
72.4,1776427756262
75.0,1776427756480
74.0,1776427756719
73.0,1776427756962
73.4,1776427757180
73.6,1776427757419
73.7,1776427757642
73.9,1776427757842
74.5,1776427758060
72.2,1776427758263
72.9,1776427758480
73.7,1776427758681
71.9,1776427758899
71.6,1776427759099
71.8,1776427759319
71.9,1776427759524
72.6,1776427759779
72.2,1776427759999
72.2,1776427760239
72.2,1776427760460
73.0,1776427760699
72.1,1776427760941
72.0,1776427761159
72.3,1776427761359
72.3,1776427761579
74.1,1776427761779
73.7,1776427761999
71.7,1776427762199
73.2,1776427762420
72.4,1776427762660
72.3,1776427762880
72.3,1776427763081
73.2,1776427763299
72.3,1776427763499
72.9,1776427763720
73.0,1776427763960
72.6,1776427764199
72.4,1776427764421
73.0,1776427764662
75.3,1776427764899
73.0,1776427765119
73.7,1776427765362
72.7,1776427765580
73.2,1776427765820
73.3,1776427766059
72.6,1776427766280
71.9,1776427766488
74.0,1776427766701
74.7,1776427766939
73.0,1776427767180
73.8,1776427767400
73.0,1776427767640
73.1,1776427767862
74.0,1776427768099
73.7,1776427768339
73.5,1776427768539
74.7,1776427768740
76.0,1776427768960
78.2,1776427769160
76.8,1776427769364
74.5,1776427769599
73.5,1776427769859
74.6,1776427770091
73.1,1776427770320
74.2,1776427770546
74.4,1776427770779
73.9,1776427771020
74.1,1776427771240
73.4,1776427771441
74.6,1776427771660
74.9,1776427771867
74.6,1776427772079
74.1,1776427772288
72.8,1776427772499
73.2,1776427772740
72.2,1776427772960
72.6,1776427773199
73.8,1776427773440
72.7,1776427773660
73.3,1776427773900
72.3,1776427774139
73.1,1776427774360
74.4,1776427774561
74.4,1776427774780
74.4,1776427774980
74.2,1776427775200
73.6,1776427775439
74.2,1776427775659
74.6,1776427775860
72.6,1776427776079
72.5,1776427776279
73.2,1776427776501
73.2,1776427776739
72.5,1776427776979
73.7,1776427777200
72.9,1776427777419
72.0,1776427777660
71.8,1776427777880
72.4,1776427778120
71.7,1776427778339
72.4,1776427778540
72.8,1776427778759
73.3,1776427778960
72.8,1776427779180
74.5,1776427779420
73.2,1776427779660
73.2,1776427779879
