Recorded date: Apr 16, 2026, 19:11:58
Export date: Apr 18, 2026, 18:38:42
Min (dB-A): 64.5
Max (dB-A): 90.3
Peak (dB-A): 97.3
Avg (dB-A): 80.2
TWA (dB-A): 52.5
Dose (dB-A): 0.1

Leq (dB-A), Timestamp
69.7,1776341440127
65.7,1776341440367
67.8,1776341440587
78.5,1776341440806
90.3,1776341441048
69.4,1776341441267
70.8,1776341441507
70.1,1776341441746
69.1,1776341441966
70.7,1776341442207
71.3,1776341442429
71.3,1776341442629
70.6,1776341442847
69.8,1776341443049
71.1,1776341443265
72.7,1776341443465
72.4,1776341443687
73.0,1776341443888
73.5,1776341444106
70.7,1776341444306
71.2,1776341444526
73.9,1776341444767
73.6,1776341444987
77.5,1776341445187
73.8,1776341445406
75.2,1776341445606
74.6,1776341445828
76.2,1776341446067
77.6,1776341446306
75.8,1776341446527
75.1,1776341446727
76.1,1776341446947
75.9,1776341447186
76.1,1776341447406
75.6,1776341447606
74.9,1776341447828
76.0,1776341448066
77.8,1776341448306
76.3,1776341448526
76.5,1776341448727
76.1,1776341448946
76.8,1776341449146
77.7,1776341449366
77.4,1776341449586
78.1,1776341449805
77.6,1776341450005
77.6,1776341450227
77.8,1776341450466
78.2,1776341450706
77.9,1776341450927
78.3,1776341451166
78.8,1776341451406
79.2,1776341451627
79.2,1776341451827
78.6,1776341452046
78.9,1776341452246
79.2,1776341452468
80.5,1776341452706
79.5,1776341452927
78.1,1776341453166
78.4,1776341453408
78.2,1776341453626
80.5,1776341453828
78.7,1776341454046
78.7,1776341454247
81.4,1776341454468
81.2,1776341454707
80.5,1776341454926
80.5,1776341455126
82.3,1776341455346
82.8,1776341455548
79.2,1776341455766
79.8,1776341455967
80.9,1776341456189
80.8,1776341456428
81.1,1776341456667
80.8,1776341456886
79.5,1776341457088
82.4,1776341457307
79.6,1776341457550
79.3,1776341457767
80.1,1776341458008
80.3,1776341458246
79.6,1776341458446
80.3,1776341458646
79.6,1776341458866
79.3,1776341459067
78.2,1776341459286
81.0,1776341459487
80.4,1776341459707
