Recorded date: Apr 17, 2026, 14:27:46
Export date: Apr 18, 2026, 18:39:34
Min (dB-A): 69.3
Max (dB-A): 82.4
Peak (dB-A): 85.2
Avg (dB-A): 73.5
TWA (dB-A): 0.0
Dose (dB-A): 0.0

Leq (dB-A), Timestamp
73.0,1776410794633
74.3,1776410794856
73.9,1776410795092
72.5,1776410795332
73.5,1776410795554
73.4,1776410795792
73.0,1776410796012
72.1,1776410796232
74.1,1776410796433
72.2,1776410796654
78.5,1776410796893
73.5,1776410797133
73.2,1776410797353
73.6,1776410797594
75.1,1776410797817
74.5,1776410798052
74.7,1776410798293
76.2,1776410798513
73.8,1776410798755
72.6,1776410798997
74.2,1776410799213
74.3,1776410799413
73.9,1776410799634
72.8,1776410799834
74.0,1776410800054
73.8,1776410800293
72.8,1776410800513
74.6,1776410800714
73.6,1776410800933
72.8,1776410801173
74.0,1776410801416
73.6,1776410801633
72.8,1776410801833
77.7,1776410802053
74.2,1776410802253
73.5,1776410802473
74.9,1776410802715
74.4,1776410802933
73.6,1776410803133
72.5,1776410803353
74.8,1776410803553
71.6,1776410803774
73.4,1776410804013
76.8,1776410804252
77.1,1776410804472
74.0,1776410804672
72.2,1776410804872
71.4,1776410805112
72.3,1776410805333
74.3,1776410805533
74.0,1776410805754
75.6,1776410805993
74.3,1776410806233
76.4,1776410806453
75.4,1776410806653
74.9,1776410806873
73.6,1776410807112
74.9,1776410807353
70.1,1776410807573
69.9,1776410807814
69.7,1776410808033
69.7,1776410808274
70.9,1776410808513
72.4,1776410808732
72.0,1776410808934
71.6,1776410809152
71.2,1776410809353
70.3,1776410809574
69.5,1776410809812
70.1,1776410810052
71.9,1776410810273
76.0,1776410810512
72.5,1776410810732
73.9,1776410810932
75.2,1776410811152
74.1,1776410811353
72.7,1776410811574
72.7,1776410811812
73.1,1776410812053
70.8,1776410812274
71.4,1776410812512
72.2,1776410812734
73.0,1776410812973
72.4,1776410813212
71.9,1776410813433
74.4,1776410813654
71.1,1776410813892
72.2,1776410814113
71.0,1776410814355
70.3,1776410814594
71.2,1776410814814
72.1,1776410815053
73.6,1776410815275
75.9,1776410815514
73.0,1776410815753
70.3,1776410815973
70.6,1776410816213
71.0,1776410816455
72.4,1776410816673
73.1,1776410816873
71.5,1776410817092
75.8,1776410817293
82.4,1776410817513
76.6,1776410817752
76.7,1776410817973
73.0,1776410818175
73.6,1776410818393
76.0,1776410818595
72.5,1776410818813
71.2,1776410819013
71.1,1776410819241
70.3,1776410819474
74.1,1776410819712
70.9,1776410819933
71.0,1776410820133
72.4,1776410820354
73.5,1776410820592
73.3,1776410820813
72.2,1776410821015
70.8,1776410821235
73.5,1776410821473
72.5,1776410821714
74.4,1776410821933
71.2,1776410822173
74.2,1776410822394
74.8,1776410822613
74.1,1776410822813
74.5,1776410823032
71.9,1776410823272
69.3,1776410823494
69.3,1776410823694
71.5,1776410823915
74.7,1776410824153
73.3,1776410824395
71.1,1776410824613
71.8,1776410824813
72.9,1776410825033
77.0,1776410825233
74.7,1776410825454
72.2,1776410825692
76.0,1776410825913
70.8,1776410826154
73.3,1776410826393
71.5,1776410826613
72.0,1776410826813
71.1,1776410827033
71.7,1776410827234
74.5,1776410827453
76.2,1776410827693
75.9,1776410827933
74.5,1776410828154
72.3,1776410828393
76.6,1776410828613
72.5,1776410828813
73.4,1776410829034
71.5,1776410829274
73.2,1776410829512
72.0,1776410829733
72.7,1776410829973
73.6,1776410830213
71.2,1776410830436
72.6,1776410830674
72.3,1776410830893
70.4,1776410831093
71.1,1776410831295
71.3,1776410831532
70.9,1776410831773
71.8,1776410831992
71.6,1776410832193
72.7,1776410832413
72.5,1776410832613
71.7,1776410832833
72.9,1776410833073
73.5,1776410833294
72.5,1776410833533
70.5,1776410833772
70.0,1776410833993
73.7,1776410834193
73.1,1776410834417
71.8,1776410834656
71.2,1776410834892
70.7,1776410835113
73.4,1776410835319
70.5,1776410835533
72.0,1776410835775
71.0,1776410835993
71.0,1776410836233
71.7,1776410836473
71.0,1776410836693
71.4,1776410836893
71.7,1776410837114
70.8,1776410837316
71.3,1776410837534
71.9,1776410837773
72.3,1776410838013
71.4,1776410838233
71.4,1776410838473
70.7,1776410838693
70.7,1776410838893
71.2,1776410839114
70.9,1776410839353
71.4,1776410839593
72.9,1776410839813
71.4,1776410840034
71.9,1776410840273
72.3,1776410840495
73.2,1776410840732
73.9,1776410840956
74.9,1776410841194
74.5,1776410841433
71.8,1776410841653
71.2,1776410841855
74.6,1776410842072
74.2,1776410842274
72.2,1776410842493
70.8,1776410842693
70.3,1776410842912
72.3,1776410843113
72.6,1776410843334
72.9,1776410843573
72.8,1776410843793
73.5,1776410843995
73.5,1776410844214
73.4,1776410844453
71.1,1776410844693
71.1,1776410844913
73.7,1776410845113
72.6,1776410845333
73.7,1776410845533
75.2,1776410845753
72.5,1776410845995
73.3,1776410846212
73.0,1776410846412
72.5,1776410846633
74.0,1776410846833
73.5,1776410847053
74.0,1776410847292
73.4,1776410847533
73.3,1776410847753
73.8,1776410847953
73.7,1776410848173
75.2,1776410848373
74.8,1776410848593
73.8,1776410848813
75.0,1776410849033
74.7,1776410849273
74.8,1776410849513
73.8,1776410849734
72.6,1776410849975
71.7,1776410850213
73.5,1776410850434
72.9,1776410850673
72.7,1776410850913
71.9,1776410851137
73.2,1776410851373
75.0,1776410851593
74.7,1776410851833
72.5,1776410852073
72.4,1776410852293
73.7,1776410852493
76.5,1776410852713
74.1,1776410852952
72.5,1776410853192
74.0,1776410853413
72.8,1776410853653
74.3,1776410853875
73.1,1776410854113
72.5,1776410854353
74.1,1776410854573
72.9,1776410854774
71.1,1776410854992
71.8,1776410855193
71.0,1776410855414
